[s],CH1[V]
6.37760E-02,1.648E-02
6.37800E-02,1.648E-02
6.37840E-02,1.648E-02
6.37880E-02,8.485E-03
6.37920E-02,1.648E-02
6.37960E-02,8.485E-03
6.38000E-02,8.485E-03
6.38040E-02,8.485E-03
6.38080E-02,8.485E-03
6.38120E-02,1.648E-02
6.38160E-02,1.648E-02
6.38200E-02,2.448E-02
6.38240E-02,2.448E-02
6.38280E-02,2.448E-02
6.38320E-02,3.248E-02
6.38360E-02,3.248E-02
6.38400E-02,4.048E-02
6.38440E-02,2.448E-02
6.38480E-02,2.448E-02
6.38520E-02,2.448E-02
6.38560E-02,2.448E-02
6.38600E-02,2.448E-02
6.38640E-02,3.248E-02
6.38680E-02,2.448E-02
6.38720E-02,2.448E-02
6.38760E-02,1.648E-02
6.38800E-02,2.448E-02
6.38840E-02,2.448E-02
6.38880E-02,1.648E-02
6.38920E-02,1.648E-02
6.38960E-02,8.485E-03
6.39000E-02,1.648E-02
6.39040E-02,1.648E-02
6.39080E-02,2.448E-02
6.39120E-02,8.485E-03
6.39160E-02,1.648E-02
6.39200E-02,4.845E-04
6.39240E-02,1.648E-02
6.39280E-02,1.648E-02
6.39320E-02,8.485E-03
6.39360E-02,8.485E-03
6.39400E-02,8.485E-03
6.39440E-02,8.485E-03
6.39480E-02,1.648E-02
6.39520E-02,4.845E-04
6.39560E-02,8.485E-03
6.39600E-02,8.485E-03
6.39640E-02,8.485E-03
6.39680E-02,8.485E-03
6.39720E-02,8.485E-03
6.39760E-02,8.485E-03
6.39800E-02,8.485E-03
6.39840E-02,8.485E-03
6.39880E-02,4.845E-04
6.39920E-02,4.845E-04
6.39960E-02,4.845E-04
6.40000E-02,4.845E-04
6.40040E-02,8.485E-03
6.40080E-02,-7.515E-03
6.40120E-02,4.845E-04
